,GRADE
2991,C
2992,C
2993,A
2994,A
2995,A
2996,A
2997,C
2998,B
2999,A
3000,A
3001,B
3002,A
3003,B
3004,A
3005,A
3006,A
3007,A
3008,A
3009,C
3010,A
3011,A
3012,C
3013,A
3014,C
3015,A
3016,B
3017,A
3018,A
3019,A
3020,A
3021,A
3022,A
3023,B
3024,A
3025,A
3026,A
3027,A
3028,A
3029,A
3030,A
3031,A
3032,B
3033,B
3034,A
3035,B
3036,A
3037,A
3038,A
3039,A
3040,A
3041,C
3042,A
3043,B
3044,A
3045,A
3046,A
3047,A
3048,C
3049,A
3050,A
3051,A
3052,A
3053,A
3054,A
3055,A
3056,A
3057,C
3058,B
3059,C
3060,A
3061,A
3062,A
3063,A
3064,A
3065,A
3066,A
3067,A
3068,A
3069,A
3070,A
3071,A
3072,A
3073,B
3074,A
3075,A
3076,A
3077,A
3078,A
3079,B
3080,B
3081,A
3082,C
3083,B
3084,B
3085,C
3086,A
3087,A
3088,C
3089,A
3090,A
3091,A
3092,A
3093,A
3094,A
3095,A
3096,A
3097,A
3098,A
3099,A
3100,B
3101,C
3102,B
3103,A
3104,A
3105,B
3106,B
3107,B
3108,B
3109,A
3110,B
3111,A
3112,A
3113,A
3114,C
3115,A
3116,C
3117,A
3118,A
3119,A
3120,B
3121,A
3122,A
3123,A
3124,B
3125,B
3126,A
3127,C
3128,A
3129,A
3130,C
3131,A
3132,A
3133,C
3134,B
3135,C
3136,B
3137,A
3138,A
3139,B
3140,B
3141,A
3142,B
3143,A
3144,A
3145,A
3146,A
3147,A
3148,A
3149,A
3150,A
3151,A
3152,A
3153,B
3154,B
3155,A
3156,B
3157,B
3158,A
3159,A
3160,C
3161,A
3162,B
3163,A
3164,A
3165,A
3166,A
3167,B
3168,A
3169,C
3170,A
3171,A
3172,A
3173,B
3174,A
3175,A
3176,C
3177,A
3178,A
3179,A
3180,A
3181,A
3182,C
3183,A
3184,A
3185,A
3186,A
3187,A
3188,A
3189,C
3190,B
3191,A
3192,A
3193,A
3194,A
3195,B
3196,A
3197,B
3198,B
3199,A
3200,C
3201,B
3202,A
3203,B
3204,B
3205,A
3206,A
3207,A
3208,A
3209,A
3210,A
3211,A
3212,A
3213,A
3214,A
3215,A
3216,B
3217,A
3218,A
3219,A
3220,A
3221,A
3222,A
3223,B
3224,B
3225,A
3226,A
3227,A
3228,B
3229,B
3230,C
3231,A
3232,A
3233,A
3234,A
3235,A
3236,A
3237,B
3238,C
3239,A
3240,A
3241,A
3242,B
3243,A
3244,A
3245,B
3246,A
3247,A
3248,A
3249,B
3250,A
3251,B
3252,C
3253,A
3254,A
3255,A
3256,A
3257,A
3258,A
3259,A
3260,B
3261,A
3262,B
3263,B
3264,A
3265,C
3266,A
3267,A
3268,A
3269,A
3270,A
3271,B
3272,A
3273,A
3274,C
3275,C
3276,A
3277,A
3278,A
3279,A
3280,A
3281,A
3282,A
3283,A
3284,A
3285,A
3286,B
3287,C
3288,A
3289,A
3290,A
3291,A
3292,A
3293,A
3294,B
3295,A
3296,C
3297,A
3298,A
3299,A
3300,A
3301,A
3302,A
3303,B
3304,B
3305,A
3306,C
3307,A
3308,A
3309,A
3310,A
3311,A
3312,A
3313,A
3314,A
3315,A
3316,A
3317,B
3318,A
3319,B
3320,A
3321,C
3322,B
3323,B
3324,A
3325,B
3326,B
3327,B
3328,A
3329,A
3330,C
3331,A
3332,B
3333,B
3334,B
3335,B
3336,A
3337,A
3338,B
3339,A
3340,A
3341,C
3342,A
3343,A
3344,A
3345,A
3346,A
3347,B
3348,A
3349,B
3350,A
3351,C
3352,A
3353,B
3354,A
3355,A
3356,A
3357,A
3358,B
3359,B
3360,B
3361,B
3362,A
3363,A
3364,B
3365,A
3366,C
3367,B
3368,B
3369,A
3370,A
3371,B
3372,A
3373,A
3374,A
3375,A
3376,A
3377,B
3378,B
3379,A
3380,A
3381,A
3382,A
3383,A
3384,A
3385,B
3386,A
3387,A
3388,A
3389,A
3390,A
3391,B
3392,B
3393,A
3394,C
3395,A
3396,A
3397,A
3398,A
3399,C
3400,A
3401,A
3402,A
3403,A
3404,A
3405,B
3406,C
3407,A
3408,A
3409,B
3410,B
3411,B
3412,A
3413,A
3414,A
3415,A
3416,A
3417,B
3418,B
3419,A
3420,B
3421,A
3422,B
3423,A
3424,B
3425,A
3426,B
3427,B
3428,A
3429,B
3430,B
3431,A
3432,A
3433,C
3434,A
3435,A
3436,A
3437,B
3438,A
3439,B
3440,A
3441,A
3442,A
3443,A
3444,A
3445,C
3446,B
3447,C
3448,A
3449,A
3450,A
3451,B
3452,C
3453,A
3454,B
3455,B
3456,C
3457,A
3458,A
3459,A
3460,A
3461,B
3462,A
3463,A
3464,A
3465,A
3466,B
3467,A
3468,A
3469,A
3470,C
3471,A
3472,B
3473,B
3474,A
3475,C
3476,B
3477,A
3478,A
3479,C
3480,C
3481,B
3482,A
3483,A
3484,A
3485,A
3486,A
3487,A
3488,A
3489,A
3490,A
3491,A
3492,A
3493,A
3494,A
3495,C
3496,A
3497,C
3498,A
3499,A
3500,A
3501,B
3502,A
3503,A
3504,A
3505,A
3506,A
3507,A
3508,A
3509,A
3510,A
3511,B
3512,A
3513,A
3514,A
3515,A
3516,B
3517,C
3518,A
3519,A
3520,A
3521,A
3522,A
3523,A
3524,B
3525,C
3526,A
3527,A
3528,A
3529,A
3530,A
3531,A
3532,B
3533,A
3534,A
3535,A
3536,B
3537,A
3538,A
3539,A
3540,A
3541,A
3542,B
3543,A
3544,A
3545,A
3546,A
3547,B
3548,A
3549,C
3550,A
3551,A
3552,A
3553,C
3554,A
3555,B
3556,A
3557,A
3558,A
3559,A
3560,A
3561,A
3562,B
3563,A
3564,A
3565,A
3566,B
3567,B
3568,A
3569,A
3570,A
3571,B
3572,B
3573,C
3574,B
3575,A
3576,A
3577,A
3578,A
3579,A
3580,A
3581,A
3582,C
3583,A
3584,A
3585,A
3586,B
3587,A
3588,A
3589,A
3590,A
3591,C
3592,A
3593,A
3594,A
3595,A
3596,C
3597,C
3598,C
3599,B
3600,A
3601,A
3602,A
3603,A
3604,A
3605,B
3606,A
3607,A
3608,A
3609,A
3610,C
3611,A
3612,B
3613,A
3614,B
3615,A
3616,B
3617,A
3618,A
3619,A
3620,A
3621,A
3622,A
3623,A
3624,A
3625,B
3626,C
3627,C
3628,A
3629,A
3630,A
3631,A
3632,C
3633,B
3634,B
3635,A
3636,C
3637,B
3638,B
3639,A
3640,A
3641,B
3642,A
3643,B
3644,A
3645,B
3646,A
3647,B
3648,A
3649,A
3650,A
3651,A
3652,C
3653,C
3654,B
3655,B
3656,C
3657,A
3658,A
3659,B
3660,C
3661,A
3662,A
3663,B
3664,A
3665,A
3666,A
3667,A
3668,B
3669,A
3670,A
3671,A
3672,B
3673,A
3674,A
3675,B
3676,B
3677,B
3678,A
3679,A
3680,A
3681,A
3682,A
3683,A
3684,A
3685,A
3686,B
3687,A
3688,B
3689,A
3690,A
3691,B
3692,B
3693,A
3694,A
3695,A
3696,C
3697,A
3698,A
3699,B
3700,A
3701,A
3702,B
3703,B
3704,A
3705,A
3706,A
3707,B
3708,A
3709,C
3710,A
3711,A
3712,A
3713,A
3714,A
3715,B
3716,A
3717,B
3718,A
3719,C
3720,A
3721,A
3722,A
3723,C
3724,A
3725,A
3726,A
3727,A
3728,C
3729,A
3730,A
3731,A
3732,C
3733,B
3734,C
3735,A
3736,A
3737,A
3738,C
3739,C
3740,B
3741,C
3742,A
3743,A
3744,A
3745,C
3746,A
3747,A
3748,A
3749,B
3750,A
3751,C
3752,A
3753,B
3754,A
3755,B
3756,B
3757,A
3758,B
3759,B
3760,A
3761,B
3762,A
3763,B
3764,A
3765,A
3766,B
3767,A
3768,A
3769,B
3770,B
3771,A
3772,A
3773,A
3774,B
3775,C
3776,A
3777,B
3778,A
3779,C
3780,A
3781,A
3782,B
3783,A
3784,B
3785,A
3786,A
3787,A
3788,A
3789,C
3790,C
3791,C
3792,A
3793,B
3794,A
3795,B
3796,A
3797,C
3798,A
3799,A
3800,C
3801,B
3802,B
3803,A
3804,A
3805,C
3806,A
3807,B
3808,A
3809,A
3810,A
3811,A
3812,A
3813,B
3814,B
3815,B
3816,B
3817,B
3818,C
3819,A
3820,C
3821,B
3822,A
3823,C
3824,B
3825,A
3826,A
3827,A
3828,A
3829,A
3830,A
3831,A
3832,A
3833,B
3834,A
3835,C
3836,B
3837,A
3838,C
3839,B
3840,B
3841,A
3842,B
3843,B
3844,C
3845,A
3846,A
3847,A
3848,A
3849,A
3850,A
3851,B
3852,A
3853,A
3854,A
3855,A
3856,B
3857,A
3858,A
3859,B
3860,A
3861,B
3862,B
3863,A
3864,A
3865,A
3866,A
3867,A
3868,A
3869,B
3870,A
3871,A
3872,A
3873,A
3874,A
3875,C
3876,B
3877,A
3878,A
3879,C
3880,A
3881,A
3882,B
3883,B
3884,B
3885,A
3886,A
3887,B
3888,A
3889,A
3890,A
3891,B
3892,A
3893,A
3894,A
3895,A
3896,C
3897,A
3898,B
3899,A
3900,A
3901,A
3902,B
3903,C
3904,A
3905,A
3906,A
3907,C
3908,A
3909,A
3910,A
3911,A
3912,A
3913,B
3914,B
3915,A
3916,A
3917,C
3918,B
3919,C
3920,A
3921,A
3922,C
3923,B
3924,A
3925,A
3926,C
3927,A
3928,A
3929,B
3930,A
3931,C
3932,C
3933,B
3934,A
3935,A
3936,A
3937,A
3938,A
3939,A
3940,A
3941,A
3942,A
3943,A
3944,A
3945,A
3946,A
3947,A
3948,A
3949,A
3950,B
3951,A
3952,A
3953,B
3954,B
3955,A
3956,A
3957,C
3958,C
3959,A
3960,A
3961,C
3962,B
3963,A
3964,A
3965,B
3966,A
3967,B
3968,A
3969,A
3970,B
3971,B
3972,C
3973,A
3974,A
3975,A
3976,A
3977,A
3978,A
3979,A
3980,A
3981,A
3982,A
3983,A
3984,A
3985,A
3986,A
3987,B
3988,A
3989,A
3990,A
3991,A
3992,A
3993,A
3994,B
3995,B
3996,A
3997,A
3998,A
3999,B
4000,A
4001,B
4002,B
4003,A
4004,B
4005,A
4006,A
4007,B
4008,A
4009,B
4010,C
4011,C
4012,C
4013,B
4014,B
4015,B
4016,A
4017,A
4018,B
4019,B
4020,B
4021,A
4022,A
4023,A
4024,A
4025,A
4026,C
4027,B
4028,B
4029,A
4030,B
4031,A
4032,A
4033,A
4034,B
4035,A
4036,B
4037,A
4038,A
4039,A
4040,A
4041,A
4042,A
4043,A
4044,B
4045,A
4046,A
4047,B
4048,A
4049,A
4050,B
4051,B
4052,A
4053,A
4054,A
4055,A
4056,B
4057,C
4058,B
4059,A
4060,A
4061,C
4062,B
4063,A
4064,A
4065,C
4066,A
4067,A
4068,A
4069,B
4070,A
4071,A
4072,C
4073,B
4074,B
4075,A
4076,A
4077,A
4078,A
4079,B
4080,A
4081,B
4082,A
4083,A
4084,A
4085,B
4086,B
4087,A
4088,C
4089,A
4090,C
4091,A
4092,A
4093,A
4094,A
4095,A
4096,A
4097,C
4098,A
4099,B
4100,A
4101,B
4102,A
4103,A
4104,B
4105,B
4106,A
4107,B
4108,A
4109,A
4110,A
4111,A
4112,B
4113,A
4114,A
4115,B
4116,C
4117,A
4118,B
4119,B
4120,B
4121,A
4122,C
4123,B
4124,B
4125,A
4126,A
4127,A
4128,C
4129,B
4130,B
4131,A
4132,A
4133,C
4134,A
4135,A
4136,A
4137,A
4138,A
4139,B
4140,B
4141,B
4142,A
4143,A
4144,C
4145,A
4146,A
4147,A
4148,C
4149,B
4150,A
4151,A
4152,A
4153,B
4154,A
4155,B
4156,A
4157,B
4158,B
4159,A
4160,B
4161,A
4162,C
4163,B
4164,A
4165,A
4166,B
4167,A
4168,B
4169,A
4170,B
4171,B
4172,B
4173,C
4174,A
4175,B
4176,A
4177,A
4178,C
4179,A
4180,A
4181,B
4182,B
4183,A
4184,B
4185,B
4186,A
4187,A
4188,A
4189,C
4190,A
4191,C
4192,A
4193,A
4194,B
4195,A
4196,B
4197,B
4198,A
4199,B
4200,A
4201,C
4202,A
4203,A
4204,B
4205,A
4206,A
4207,A
4208,B
4209,B
4210,C
4211,A
4212,A
4213,B
4214,A
4215,A
4216,C
4217,A
4218,C
4219,C
4220,B
4221,A
4222,C
4223,A
4224,B
4225,A
4226,A
4227,B
4228,C
4229,A
4230,B
4231,A
4232,C
4233,A
4234,A
4235,B
4236,A
4237,A
4238,A
4239,C
4240,B
4241,A
4242,C
4243,A
4244,A
4245,A
4246,A
4247,A
4248,A
4249,C
4250,A
4251,A
4252,A
4253,A
4254,A
4255,B
4256,A
4257,B
4258,B
4259,B
4260,B
4261,B
4262,B
4263,A
4264,A
4265,A
4266,B
4267,A
4268,A
4269,B
4270,A
4271,B
4272,B
4273,A
4274,B
4275,A
4276,A
4277,A
4278,C
4279,A
4280,A
4281,A
4282,A
4283,A
4284,A
4285,C
4286,A
4287,B
4288,A
4289,A
4290,A
4291,C
4292,A
4293,A
4294,A
4295,B
4296,A
4297,C
4298,A
4299,B
4300,A
4301,A
4302,A
4303,A
4304,A
4305,C
4306,A
4307,C
4308,A
4309,A
4310,A
4311,A
4312,A
4313,A
4314,C
4315,A
4316,B
4317,A
4318,A
4319,A
4320,A
4321,A
4322,C
4323,A
4324,A
4325,A
4326,C
4327,B
4328,C
4329,B
4330,A
4331,A
4332,A
4333,C
4334,B
4335,A
4336,C
4337,A
4338,A
4339,A
4340,B
4341,A
4342,A
4343,B
4344,A
4345,A
4346,A
4347,B
4348,A
4349,A
4350,C
4351,B
4352,A
4353,A
4354,A
4355,A
4356,A
4357,B
4358,A
4359,A
4360,B
4361,B
4362,B
4363,A
4364,B
4365,A
4366,A
4367,A
4368,C
4369,A
4370,A
4371,A
4372,B
4373,A
4374,B
4375,C
4376,B
4377,B
4378,A
4379,B
4380,A
4381,B
4382,A
4383,A
4384,B
4385,A
4386,B
4387,C
4388,C
4389,B
4390,A
4391,A
4392,C
4393,A
4394,B
4395,B
4396,A
4397,A
4398,A
4399,A
4400,A
4401,B
4402,A
4403,B
4404,A
4405,C
4406,A
4407,A
4408,B
4409,C
4410,A
4411,A
4412,A
4413,C
4414,B
4415,B
4416,A
4417,C
4418,A
4419,B
4420,A
4421,C
4422,A
4423,A
4424,A
4425,A
4426,C
4427,B
4428,B
4429,A
4430,B
4431,A
4432,A
4433,A
4434,B
4435,B
4436,A
4437,A
4438,A
4439,A
4440,A
4441,A
4442,A
4443,A
4444,A
4445,A
4446,B
4447,A
4448,B
4449,A
4450,C
4451,C
4452,A
4453,A
4454,A
4455,A
4456,A
4457,A
4458,B
4459,B
4460,B
4461,C
4462,B
4463,A
4464,C
4465,A
4466,C
4467,A
4468,B
4469,A
4470,B
4471,B
4472,A
4473,A
4474,B
4475,A
4476,B
4477,B
4478,A
4479,A
4480,A
4481,A
4482,B
4483,A
4484,A
4485,A
4486,C
4487,B
4488,A
4489,A
4490,A
4491,A
4492,A
4493,A
4494,A
4495,A
4496,A
4497,A
4498,A
4499,A
4500,A
4501,A
4502,B
4503,A
4504,A
4505,A
4506,B
4507,A
4508,C
4509,B
4510,A
4511,A
4512,A
4513,A
4514,A
4515,A
4516,B
4517,B
4518,A
4519,A
4520,C
4521,B
4522,A
4523,A
4524,A
4525,A
4526,C
4527,A
4528,C
4529,A
4530,A
4531,A
4532,A
4533,A
4534,A
4535,C
4536,B
4537,B
4538,B
4539,B
4540,A
4541,C
4542,A
4543,A
4544,A
4545,B
4546,A
4547,A
4548,B
4549,A
4550,A
4551,A
4552,A
4553,A
4554,B
4555,A
4556,A
4557,A
4558,A
4559,A
4560,A
4561,A
4562,A
4563,A
4564,A
4565,A
4566,A
4567,A
4568,A
4569,A
4570,A
4571,A
4572,A
4573,A
4574,A
4575,A
4576,A
4577,A
4578,A
4579,B
4580,C
4581,A
4582,C
4583,B
4584,B
4585,B
4586,A
4587,C
4588,A
4589,B
4590,C
4591,B
4592,A
4593,A
4594,A
4595,A
4596,B
4597,B
4598,A
4599,B
4600,A
4601,A
4602,A
4603,B
4604,B
4605,A
4606,A
4607,B
4608,A
4609,B
4610,A
4611,B
4612,A
4613,B
4614,C
4615,A
4616,A
4617,A
4618,A
4619,A
4620,A
4621,A
4622,A
4623,C
4624,A
4625,A
4626,A
4627,B
4628,A
4629,A
4630,B
4631,A
4632,B
4633,A
4634,C
4635,A
4636,A
4637,A
4638,A
4639,A
4640,B
4641,B
4642,A
4643,A
4644,A
4645,C
4646,A
4647,B
4648,C
4649,B
4650,C
4651,B
4652,A
4653,A
4654,A
4655,A
4656,A
4657,C
4658,A
4659,A
4660,B
4661,B
4662,B
4663,A
4664,C
4665,A
4666,B
4667,A
4668,A
4669,A
4670,A
4671,A
4672,A
4673,C
4674,A
4675,B
4676,A
4677,C
4678,B
4679,A
4680,B
4681,C
4682,B
4683,A
4684,A
4685,B
4686,B
4687,B
4688,A
4689,A
4690,B
4691,A
4692,A
4693,B
4694,C
4695,A
4696,B
4697,A
4698,B
4699,A
4700,B
4701,A
4702,C
4703,C
4704,A
4705,B
4706,A
4707,B
4708,A
4709,B
4710,A
4711,A
4712,A
4713,B
4714,B
4715,A
4716,A
4717,A
4718,A
4719,A
4720,A
4721,A
4722,B
4723,A
4724,A
4725,A
4726,B
4727,A
4728,C
4729,A
4730,C
4731,A
4732,A
4733,C
4734,A
4735,A
4736,A
4737,C
4738,B
4739,C
4740,B
4741,C
4742,A
4743,A
4744,A
4745,A
4746,B
4747,A
4748,C
4749,B
4750,B
4751,B
4752,A
4753,A
4754,B
4755,C
4756,B
4757,B
4758,A
4759,B
4760,A
4761,C
4762,C
4763,A
4764,A
4765,A
4766,A
4767,A
4768,B
4769,A
4770,A
4771,A
4772,B
4773,A
4774,B
4775,B
4776,C
4777,A
4778,B
4779,A
4780,A
4781,A
4782,B
4783,A
4784,A
4785,C
4786,A
4787,B
4788,B
4789,C
4790,A
4791,C
4792,A
4793,A
4794,A
4795,A
4796,C
4797,A
4798,B
4799,A
4800,A
4801,B
4802,B
4803,A
4804,C
4805,C
4806,A
4807,A
4808,B
4809,A
4810,A
4811,A
4812,A
4813,A
4814,B
4815,B
4816,A
4817,C
4818,A
4819,A
4820,C
4821,A
4822,A
4823,B
4824,A
4825,A
4826,C
4827,A
4828,A
4829,A
4830,B
4831,B
4832,A
4833,A
4834,A
4835,A
4836,A
4837,A
4838,A
4839,A
4840,B
4841,A
4842,B
4843,B
4844,C
4845,A
4846,B
4847,A
4848,A
4849,A
4850,A
4851,B
4852,A
4853,C
4854,B
4855,A
4856,C
4857,A
4858,A
4859,B
4860,A
4861,B
4862,A
4863,C
4864,A
4865,A
4866,C
4867,A
4868,A
4869,A
4870,A
4871,A
4872,A
4873,A
4874,B
4875,A
4876,A
4877,A
4878,A
4879,C
4880,C
4881,B
4882,A
4883,A
4884,B
4885,A
4886,A
4887,B
4888,A
4889,B
4890,A
4891,A
4892,B
4893,A
4894,A
4895,B
4896,A
4897,B
4898,A
4899,A
4900,A
4901,C
4902,A
4903,A
4904,B
4905,C
4906,A
4907,B
4908,A
4909,B
4910,A
4911,A
4912,A
4913,B
4914,A
4915,B
4916,A
4917,C
4918,C
4919,A
4920,A
4921,A
4922,B
4923,A
4924,A
4925,A
4926,A
4927,A
4928,A
4929,B
4930,C
4931,A
4932,A
4933,A
4934,A
4935,A
4936,B
4937,A
4938,A
4939,A
4940,A
4941,C
4942,B
4943,A
4944,A
4945,A
4946,A
4947,A
4948,B
4949,A
4950,B
4951,B
4952,A
4953,A
4954,A
4955,A
4956,A
4957,C
4958,C
4959,B
4960,A
4961,A
4962,A
4963,A
4964,A
4965,A
4966,C
4967,A
4968,A
4969,A
4970,B
4971,C
4972,B
4973,B
4974,C
4975,A
4976,B
4977,A
4978,A
4979,C
4980,B
4981,A
4982,C
4983,A
4984,C
4985,A
4986,A
4987,A
4988,B
4989,B
4990,A
4991,B
4992,A
4993,A
4994,A
4995,A
4996,C
4997,B
4998,A
4999,B
5000,B
5001,C
5002,A
5003,C
5004,A
5005,A
5006,B
5007,A
5008,B
5009,A
5010,B
5011,B
5012,C
5013,B
5014,A
5015,C
5016,C
5017,A
5018,A
5019,C
5020,C
5021,B
5022,B
5023,A
5024,A
5025,A
5026,A
5027,A
5028,A
5029,A
5030,A
5031,A
5032,A
5033,A
5034,A
5035,A
5036,B
5037,B
5038,C
5039,A
5040,B
5041,A
5042,A
5043,B
5044,B
5045,C
5046,C
5047,A
5048,A
5049,B
5050,A
5051,A
5052,C
5053,A
5054,B
5055,A
5056,A
5057,A
5058,A
5059,A
5060,A
5061,A
5062,B
5063,A
5064,A
5065,B
5066,B
5067,C
5068,A
5069,A
5070,B
5071,C
5072,B
5073,A
5074,B
5075,A
5076,A
5077,C
5078,B
5079,B
5080,B
5081,A
5082,C
5083,A
5084,B
5085,A
5086,C
5087,B
5088,A
5089,A
5090,C
5091,A
5092,A
5093,A
5094,A
5095,B
5096,A
5097,A
5098,B
5099,A
5100,A
5101,A
5102,A
5103,A
5104,A
5105,A
5106,A
5107,A
5108,A
5109,B
5110,A
5111,C
5112,A
5113,A
5114,A
5115,A
5116,A
5117,A
5118,A
5119,A
5120,A
5121,A
5122,A
5123,A
5124,A
5125,C
5126,A
5127,C
5128,A
5129,A
5130,A
5131,A
5132,C
5133,A
5134,A
5135,A
5136,A
5137,A
5138,A
5139,A
5140,A
5141,A
5142,A
5143,B
5144,A
5145,A
5146,B
5147,A
5148,A
5149,A
5150,B
5151,B
5152,A
5153,A
5154,C
5155,C
5156,A
5157,B
5158,B
5159,A
5160,B
5161,B
5162,A
5163,A
5164,A
5165,B
5166,B
5167,A
5168,C
5169,A
5170,A
5171,A
5172,A
5173,A
5174,C
5175,A
5176,C
5177,B
5178,C
5179,A
5180,A
5181,A
5182,A
5183,A
5184,A
5185,B
5186,A
5187,A
5188,A
5189,A
5190,B
5191,A
5192,A
5193,B
5194,A
5195,B
5196,A
5197,C
5198,A
5199,A
5200,A
5201,A
5202,A
5203,C
5204,A
5205,A
5206,A
5207,A
5208,A
5209,A
5210,A
5211,A
5212,A
5213,A
5214,B
5215,A
5216,A
5217,A
5218,A
5219,A
5220,B
5221,B
5222,C
5223,B
5224,C
5225,A
5226,A
5227,B
5228,A
5229,A
5230,A
5231,B
5232,C
5233,B
5234,B
5235,A
5236,A
5237,A
5238,A
5239,A
5240,A
5241,A
5242,C
5243,A
5244,B
5245,A
5246,A
5247,C
5248,A
5249,A
5250,A
5251,A
5252,A
5253,A
5254,B
5255,A
5256,A
5257,A
5258,A
5259,C
5260,B
5261,A
5262,B
5263,B
5264,A
5265,B
5266,A
5267,A
5268,B
5269,C
5270,B
5271,A
5272,A
5273,B
5274,A
5275,A
5276,B
5277,A
5278,A
5279,A
5280,A
5281,A
5282,A
5283,A
5284,A
5285,A
5286,C
5287,A
5288,A
5289,A
5290,A
5291,A
5292,A
5293,B
5294,A
5295,C
5296,A
5297,A
5298,A
5299,A
5300,B
5301,A
5302,A
5303,A
5304,B
5305,A
5306,A
5307,A
5308,A
5309,B
5310,A
5311,A
5312,A
5313,A
5314,A
5315,A
5316,A
5317,A
5318,B
5319,A
5320,A
5321,A
5322,A
5323,A
5324,A
5325,A
5326,C
5327,C
5328,A
5329,A
5330,B
5331,A
5332,A
5333,A
5334,A
5335,B
5336,A
5337,B
5338,B
5339,A
5340,A
5341,C
5342,B
5343,B
5344,A
5345,A
5346,A
5347,B
5348,B
5349,A
5350,A
5351,A
5352,A
5353,C
5354,A
5355,A
5356,B
5357,A
5358,C
5359,C
5360,A
5361,A
5362,A
5363,B
5364,A
5365,B
5366,A
5367,C
5368,A
5369,A
5370,A
5371,B
5372,A
5373,A
5374,B
5375,A
5376,A
5377,A
5378,A
5379,A
5380,A
5381,B
5382,A
5383,B
5384,C
5385,B
5386,A
5387,A
5388,C
5389,B
5390,A
5391,B
5392,A
5393,A
5394,A
5395,C
5396,C
5397,B
5398,A
5399,B
5400,A
5401,A
5402,A
5403,A
5404,C
5405,A
5406,B
5407,A
5408,B
5409,A
5410,A
5411,C
5412,C
5413,A
5414,A
5415,B
5416,A
5417,A
5418,B
5419,A
5420,A
5421,A
5422,A
5423,A
5424,B
5425,A
5426,B
5427,A
5428,A
5429,A
5430,B
5431,B
5432,B
5433,A
5434,A
5435,A
5436,A
5437,B
5438,C
5439,A
5440,C
5441,A
5442,A
5443,C
5444,A
5445,A
5446,B
5447,A
5448,A
5449,A
5450,A
5451,A
5452,A
5453,C
5454,A
5455,A
5456,A
5457,B
5458,C
5459,A
5460,A
5461,A
5462,A
5463,B
5464,A
5465,A
5466,A
5467,A
5468,B
5469,C
5470,A
5471,C
5472,A
5473,A
5474,A
5475,A
5476,A
5477,B
5478,A
5479,A
5480,C
5481,A
5482,C
5483,A
5484,A
5485,A
5486,A
5487,A
5488,A
5489,A
5490,A
5491,A
5492,B
5493,B
5494,C
5495,A
5496,C
5497,A
5498,A
5499,B
5500,A
5501,B
5502,B
5503,A
5504,A
5505,C
5506,A
5507,B
5508,A
5509,C
5510,A
5511,A
5512,A
5513,C
5514,A
5515,C
5516,C
5517,A
5518,A
5519,A
5520,B
5521,A
5522,A
5523,B
5524,C
5525,A
5526,C
5527,B
5528,C
5529,A
5530,C
5531,A
5532,B
5533,A
5534,B
5535,A
5536,A
5537,A
5538,A
5539,B
5540,A
5541,B
5542,B
5543,C
5544,B
5545,B
5546,A
5547,C
5548,A
5549,A
5550,A
5551,A
5552,B
5553,A
5554,B
5555,C
5556,A
5557,C
5558,A
5559,A
5560,A
5561,C
5562,A
5563,A
5564,A
5565,A
5566,B
5567,A
5568,A
5569,C
5570,C
5571,A
5572,A
5573,A
5574,A
5575,A
5576,B
5577,B
5578,A
5579,A
5580,B
5581,B
5582,A
5583,A
5584,A
5585,B
5586,B
5587,A
5588,B
5589,B
5590,C
5591,B
5592,B
5593,A
5594,A
5595,A
5596,A
5597,A
5598,A
5599,A
5600,A
5601,A
5602,B
5603,B
5604,A
5605,B
5606,A
5607,A
5608,B
5609,A
5610,B
5611,A
5612,C
5613,C
5614,A
5615,C
5616,C
5617,C
5618,B
5619,A
5620,A
5621,C
5622,B
5623,A
5624,A
5625,A
5626,A
5627,B
5628,A
5629,B
5630,B
5631,C
5632,B
5633,C
5634,B
5635,A
5636,B
5637,A
5638,B
5639,C
5640,A
5641,A
5642,A
5643,A
5644,A
5645,A
5646,B
5647,C
5648,A
5649,B
5650,A
5651,A
5652,A
5653,A
5654,A
5655,B
5656,B
5657,B
5658,A
5659,A
5660,A
5661,A
5662,A
5663,A
5664,C
5665,A
5666,A
5667,A
5668,B
5669,A
5670,B
5671,A
5672,B
5673,A
5674,C
5675,A
5676,A
5677,A
5678,C
5679,A
5680,B
5681,A
5682,A
5683,A
5684,B
5685,A
5686,A
5687,A
5688,A
5689,A
5690,A
5691,A
5692,A
5693,A
5694,C
5695,A
5696,B
5697,B
5698,B
5699,A
5700,C
5701,C
5702,A
5703,B
5704,A
5705,A
5706,A
5707,A
5708,A
5709,A
5710,C
5711,A
5712,C
5713,B
5714,A
5715,A
5716,C
5717,A
5718,A
5719,C
5720,A
5721,A
5722,B
5723,A
5724,A
5725,C
5726,B
5727,A
5728,B
5729,A
5730,B
5731,A
5732,A
5733,A
5734,C
5735,B
5736,A
5737,A
5738,C
5739,A
5740,A
5741,A
5742,A
5743,C
5744,A
5745,B
5746,A
5747,B
5748,A
5749,B
5750,A
5751,A
5752,A
5753,B
5754,A
5755,C
5756,A
5757,B
5758,B
5759,A
5760,C
5761,A
5762,A
5763,A
5764,A
5765,A
5766,A
5767,A
5768,A
5769,A
5770,A
5771,C
5772,C
5773,A
5774,A
5775,A
5776,A
5777,A
5778,A
5779,C
5780,A
5781,C
5782,A
5783,A
5784,C
5785,C
5786,A
5787,A
5788,A
