,GRADE
798,A
799,A
800,B
801,B
802,A
803,B
804,B
805,A
806,A
807,A
808,B
809,A
810,B
811,A
812,A
813,A
814,B
815,A
816,A
817,A
818,A
819,A
820,B
821,A
822,A
823,C
824,B
825,C
826,B
827,A
828,A
829,A
830,B
831,B
832,A
833,A
834,A
835,B
836,B
837,A
838,B
839,A
840,A
841,A
842,B
843,A
844,A
845,B
846,A
847,A
848,B
849,B
850,A
851,B
852,A
853,C
854,A
855,B
856,B
857,A
858,A
859,B
860,A
861,A
862,A
863,A
864,A
865,A
866,C
867,B
868,B
869,A
870,B
871,A
872,A
873,B
874,A
875,A
876,A
877,C
878,A
879,A
880,C
881,A
882,A
883,C
884,A
885,A
886,A
887,A
888,A
889,A
890,B
891,A
892,C
893,B
894,B
895,A
896,A
897,A
898,A
899,A
900,A
901,A
902,A
903,A
904,C
905,B
906,A
907,A
908,B
909,B
910,B
911,B
912,B
913,A
914,C
915,A
916,B
917,A
918,A
919,A
920,B
921,A
922,B
923,A
924,B
925,B
926,C
927,C
928,A
929,A
930,A
931,A
932,A
933,A
934,A
935,B
936,A
937,B
938,A
939,A
940,A
941,A
942,A
943,A
944,C
945,A
946,A
947,A
948,A
949,A
950,A
951,A
952,A
953,A
954,A
955,A
956,A
957,A
958,A
959,A
960,B
961,A
962,B
963,C
964,A
965,A
966,A
967,B
968,B
969,C
970,A
971,A
972,A
973,B
974,A
975,A
976,A
977,A
978,C
979,A
980,A
981,A
982,A
983,A
984,A
985,A
986,B
987,A
988,A
989,C
990,B
991,A
992,A
993,A
994,A
995,A
996,A
997,A
998,A
999,A
1000,C
1001,A
1002,A
1003,A
1004,A
1005,A
1006,B
1007,A
1008,B
1009,A
1010,C
1011,B
1012,A
1013,A
1014,C
1015,A
1016,A
1017,B
1018,A
1019,A
1020,A
1021,A
1022,A
1023,A
1024,B
1025,B
1026,A
1027,B
1028,B
1029,A
1030,A
1031,A
1032,B
1033,A
1034,A
1035,A
1036,A
1037,A
1038,A
1039,A
1040,A
1041,A
1042,A
1043,A
1044,C
1045,A
1046,A
1047,B
1048,B
1049,A
1050,A
1051,A
1052,A
1053,A
1054,A
1055,A
1056,A
1057,A
1058,A
1059,C
1060,A
1061,A
1062,A
1063,A
1064,A
1065,B
1066,B
1067,A
1068,A
1069,A
1070,A
1071,A
1072,A
1073,A
1074,B
1075,B
1076,A
1077,A
1078,A
1079,A
1080,A
1081,A
1082,A
1083,A
1084,A
1085,A
1086,A
1087,A
1088,B
1089,A
1090,A
1091,A
